epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,75.1835,0.80546,0.48995,0.01138,1,0.91155,0.9835,0.66181,1.27968,0.44797,0.02443,0.0003896,0.0003896,0.0003896
63,76.2925,0.82167,0.5184,0.01072,0.99372,0.91667,0.98826,0.69766,1.16123,0.38793,0.0222,0.0003632,0.0003632,0.0003632
64,77.437,0.81412,0.50115,0.01017,0.99482,0.91667,0.98821,0.69942,1.18193,0.36583,0.02267,0.0003368,0.0003368,0.0003368
65,78.7603,0.79623,0.46833,0.01088,0.93838,0.94444,0.98428,0.70098,1.17888,0.38794,0.02247,0.0003104,0.0003104,0.0003104
66,81.5443,0.7357,0.46202,0.01349,0.99458,0.91667,0.98662,0.71038,1.17431,0.35734,0.02269,0.000284,0.000284,0.000284
67,82.7297,0.76743,0.4403,0.01464,0.99825,0.91667,0.98782,0.70709,1.12818,0.35163,0.02172,0.0002576,0.0002576,0.0002576
68,83.8732,0.76627,0.4206,0.01487,1,0.91425,0.98781,0.69438,1.17705,0.37671,0.0226,0.0002312,0.0002312,0.0002312
69,85.0128,0.70524,0.41597,0.01331,0.9983,0.91667,0.98531,0.67537,1.25247,0.4048,0.02405,0.0002048,0.0002048,0.0002048
70,86.3389,0.69709,0.40636,0.01235,0.97044,0.91202,0.98194,0.65792,1.26909,0.45086,0.02456,0.0001784,0.0001784,0.0001784
71,87.4708,0.74056,0.41049,0.0137,0.99307,0.88889,0.98003,0.66335,1.25033,0.4613,0.02431,0.000152,0.000152,0.000152
72,88.6042,0.69539,0.42919,0.01325,0.9672,0.91667,0.9786,0.69,1.19291,0.45091,0.02302,0.0001256,0.0001256,0.0001256
73,89.736,0.65455,0.3764,0.01176,0.94087,0.91667,0.97915,0.68127,1.18154,0.45497,0.02273,9.92e-05,9.92e-05,9.92e-05
74,90.8622,0.64627,0.38705,0.01174,0.99727,0.91667,0.98249,0.68813,1.1838,0.41269,0.02276,7.28e-05,7.28e-05,7.28e-05
75,92.1045,0.63807,0.37215,0.01172,0.99789,0.91667,0.98466,0.69416,1.18173,0.40351,0.02273,4.64e-05,4.64e-05,4.64e-05
